crop_type,soil_type,rainfall,season,irrigation,farm_size,yield_kg_per_ha
soybean,peaty,low,summer,sprinkler,small,2193.85
rice,silty,high,winter,flood,large,8253.44
wheat,peaty,medium,winter,rainfed,small,3579.65
soybean,loamy,high,winter,drip,small,3408.24
rice,sandy,medium,spring,sprinkler,small,5116.15
potato,sandy,medium,winter,flood,large,35229.03
soybean,sandy,low,summer,sprinkler,large,1951.76
rice,clay,high,spring,rainfed,large,6213.24
rice,peaty,high,summer,rainfed,medium,5652.68
wheat,peaty,medium,winter,drip,medium,4488.14
corn,clay,medium,spring,flood,large,8848.93
soybean,silty,medium,winter,rainfed,large,2794.53
rice,peaty,medium,winter,flood,medium,7122.44
wheat,peaty,medium,spring,drip,medium,4447.44
potato,clay,medium,summer,rainfed,small,31738.98
soybean,loamy,high,winter,rainfed,large,3059.38
wheat,sandy,low,spring,drip,small,2828.2
soybean,peaty,high,summer,sprinkler,small,3300.75
potato,clay,low,fall,drip,large,38945.82
rice,clay,low,summer,rainfed,large,4541.04
soybean,silty,medium,fall,sprinkler,medium,3143.38
rice,clay,low,summer,drip,small,4786.92
rice,sandy,high,summer,flood,small,5560.27
wheat,silty,medium,fall,drip,small,4409.55
soybean,loamy,low,spring,sprinkler,large,2570.76
potato,loamy,medium,summer,flood,large,50255.73
potato,clay,high,fall,rainfed,small,33669.86
wheat,clay,medium,spring,rainfed,large,3268.1
potato,peaty,medium,fall,drip,large,44911.61
rice,peaty,high,spring,sprinkler,medium,6967.96
rice,peaty,low,spring,flood,medium,5598.7
wheat,peaty,medium,spring,flood,small,4383.99
rice,clay,high,summer,drip,large,7362.67
soybean,sandy,low,winter,drip,medium,2176.4
corn,loamy,medium,winter,flood,medium,9288.58
soybean,clay,low,fall,flood,medium,2713.43
wheat,loamy,medium,fall,rainfed,medium,3685.03
wheat,silty,high,spring,rainfed,large,4427.59
rice,sandy,low,summer,rainfed,large,3782.25
potato,clay,high,summer,flood,medium,46001.59
soybean,clay,high,winter,flood,medium,3588.84
wheat,loamy,high,fall,rainfed,medium,4023.95
soybean,peaty,low,spring,rainfed,medium,1947.95
soybean,silty,low,winter,flood,large,2700.54
rice,clay,medium,fall,flood,small,6320.81
wheat,silty,high,summer,sprinkler,large,4878.16
rice,loamy,high,summer,sprinkler,medium,7714.98
wheat,loamy,high,winter,rainfed,small,3692.57
corn,sandy,medium,winter,drip,small,6492.77
wheat,sandy,low,winter,rainfed,medium,2105.81
potato,sandy,medium,winter,drip,medium,35860.65
soybean,clay,high,spring,flood,small,3317.24
potato,sandy,high,winter,sprinkler,large,38421.14
corn,clay,medium,fall,sprinkler,small,7816.52
potato,sandy,low,spring,rainfed,small,20188.47
rice,peaty,low,fall,sprinkler,medium,5389.3
wheat,sandy,high,winter,rainfed,small,3002.19
corn,silty,medium,winter,sprinkler,large,8854.65
rice,clay,low,summer,flood,medium,5723.61
soybean,peaty,medium,spring,flood,medium,3306.79
rice,silty,high,winter,sprinkler,medium,6748.96
corn,silty,medium,spring,rainfed,large,7233.31
potato,clay,low,fall,rainfed,medium,26402.84
rice,loamy,high,winter,rainfed,small,5860.02
rice,silty,medium,fall,rainfed,large,5628.57
rice,clay,high,winter,drip,small,6672.6
corn,clay,medium,fall,rainfed,medium,5962.81
corn,clay,low,fall,sprinkler,medium,6897.1
wheat,sandy,high,fall,flood,large,4424.64
potato,sandy,low,summer,flood,small,26203.87
soybean,loamy,high,fall,rainfed,small,3042.92
rice,sandy,high,summer,rainfed,small,4214.49
soybean,loamy,high,winter,flood,large,3887.79
wheat,silty,medium,fall,drip,small,4175.29
corn,sandy,low,fall,sprinkler,large,4653.12
wheat,silty,medium,fall,drip,small,4240.64
rice,loamy,low,fall,flood,large,6148.33
corn,loamy,medium,spring,rainfed,small,7429.2
wheat,silty,medium,summer,sprinkler,medium,4611.25
potato,sandy,low,winter,sprinkler,medium,25641.89
potato,clay,high,spring,flood,medium,46497.5
potato,silty,high,summer,rainfed,small,38916.83
soybean,sandy,medium,fall,sprinkler,small,2123.64
wheat,peaty,low,spring,sprinkler,medium,3152.08
corn,peaty,medium,summer,sprinkler,medium,7776.39
corn,loamy,high,summer,drip,medium,10017.98
wheat,loamy,medium,spring,flood,medium,5009.81
potato,peaty,low,spring,sprinkler,large,38498.16
potato,peaty,medium,winter,flood,large,47582.4
rice,silty,medium,summer,rainfed,large,5786.59
soybean,loamy,low,spring,flood,large,2981.75
soybean,sandy,high,winter,sprinkler,medium,2686.52
rice,peaty,high,fall,rainfed,medium,5675.26
corn,peaty,medium,summer,rainfed,large,6780.32
wheat,sandy,high,spring,drip,small,3616.28
potato,silty,low,fall,drip,large,36541.54
potato,loamy,high,winter,rainfed,large,41999.42
soybean,silty,high,winter,sprinkler,medium,3607.27
potato,peaty,high,winter,rainfed,medium,40114.48
wheat,sandy,medium,winter,sprinkler,medium,3345.89
soybean,peaty,medium,fall,flood,large,3493.68
potato,clay,high,spring,rainfed,large,42229.43
wheat,clay,medium,fall,rainfed,small,3579.37
corn,sandy,low,winter,sprinkler,medium,4912.59
corn,loamy,medium,fall,sprinkler,medium,9038.35
rice,peaty,low,summer,sprinkler,large,5764.55
wheat,silty,medium,fall,drip,large,4825.98
soybean,loamy,low,spring,rainfed,large,2053.77
corn,sandy,high,winter,drip,small,6656.05
wheat,sandy,medium,summer,flood,medium,3764.19
soybean,loamy,high,winter,drip,small,3562.68
corn,silty,high,fall,flood,small,9312.76
rice,silty,medium,winter,sprinkler,medium,6524.12
rice,loamy,low,summer,sprinkler,large,5981.32
corn,sandy,low,spring,flood,small,5128.31
potato,loamy,high,spring,rainfed,medium,39984.07
potato,peaty,medium,winter,sprinkler,large,47103.13
soybean,sandy,medium,summer,rainfed,small,2093.71
corn,silty,high,winter,rainfed,small,7248.09
corn,clay,low,spring,flood,large,6745.63
wheat,sandy,high,winter,rainfed,medium,2909.9
rice,loamy,low,winter,drip,small,5528.93
corn,loamy,low,fall,flood,medium,7014.39
potato,loamy,high,fall,flood,medium,52381.5
soybean,peaty,high,winter,rainfed,large,3046.69
potato,sandy,medium,fall,rainfed,small,24500.54
rice,clay,low,winter,rainfed,small,4075.41
soybean,silty,high,spring,sprinkler,medium,3487.08
wheat,sandy,low,summer,sprinkler,large,2922.97
wheat,peaty,high,winter,rainfed,medium,4112.79
soybean,silty,high,winter,rainfed,small,2717.65
soybean,silty,medium,fall,sprinkler,large,3352.36
wheat,sandy,high,winter,rainfed,large,3158.52
soybean,loamy,high,summer,sprinkler,small,3434.84
wheat,peaty,high,winter,rainfed,large,3986.3
potato,loamy,low,fall,drip,medium,38868.74
potato,loamy,low,fall,drip,large,38708.57
wheat,clay,high,spring,flood,large,5239.1
soybean,loamy,high,fall,rainfed,large,3022.65
potato,peaty,low,winter,flood,medium,35994.23
wheat,silty,low,summer,flood,small,3530.84
soybean,sandy,low,winter,drip,small,1864.19
corn,peaty,low,fall,rainfed,medium,5099.22
potato,sandy,medium,fall,rainfed,medium,28957.96
rice,peaty,medium,summer,flood,medium,6772.56
rice,peaty,low,summer,flood,small,4713.72
soybean,loamy,low,fall,sprinkler,small,2538.41
soybean,loamy,high,winter,flood,small,3533.86
wheat,sandy,high,summer,rainfed,medium,3247.75
soybean,clay,high,spring,rainfed,large,2944.52
wheat,peaty,medium,spring,rainfed,large,4005.95
rice,silty,medium,fall,drip,small,6444.9
soybean,loamy,medium,winter,drip,small,3082.29
rice,loamy,medium,fall,flood,small,7164.3
soybean,sandy,high,summer,rainfed,medium,2327.89
soybean,clay,high,summer,rainfed,small,2511.94
potato,loamy,low,summer,flood,large,40240.92
soybean,loamy,medium,spring,drip,small,3109.96
rice,silty,medium,spring,sprinkler,large,6879.04
corn,loamy,medium,summer,sprinkler,large,8899.68
wheat,silty,medium,summer,rainfed,medium,3812.22
rice,sandy,medium,summer,flood,small,4828.55
soybean,loamy,medium,spring,drip,small,3192.41
wheat,peaty,medium,spring,sprinkler,small,4176.97
corn,clay,low,winter,sprinkler,small,5795.42
soybean,clay,high,winter,drip,large,3487.85
corn,sandy,medium,spring,sprinkler,small,6190.26
wheat,peaty,medium,spring,sprinkler,small,3925.21
corn,peaty,medium,summer,rainfed,medium,5722.68
rice,silty,high,spring,flood,small,6933.05
wheat,loamy,low,spring,drip,small,3691.74
rice,sandy,high,fall,sprinkler,large,5579.95
wheat,loamy,low,fall,sprinkler,large,3675.89
corn,loamy,high,winter,drip,medium,9025.31
potato,clay,high,fall,rainfed,large,38819.8
potato,loamy,low,spring,rainfed,large,36287.66
soybean,sandy,high,fall,drip,medium,2449.16
potato,loamy,high,fall,rainfed,large,43437.67
potato,clay,high,spring,sprinkler,medium,44311.42
wheat,silty,low,summer,flood,medium,3843.36
wheat,clay,medium,summer,drip,large,4444.99
soybean,loamy,medium,fall,rainfed,medium,2981.24
soybean,clay,low,fall,drip,medium,2391.59
corn,peaty,low,fall,sprinkler,large,6980.86
potato,silty,high,winter,flood,medium,50452.94
corn,loamy,high,summer,sprinkler,small,8772.16
soybean,peaty,medium,fall,sprinkler,large,3327.84
wheat,peaty,medium,fall,sprinkler,large,4665.77
rice,sandy,medium,summer,rainfed,medium,4423.56
potato,loamy,high,winter,rainfed,large,43315.65
soybean,silty,low,winter,rainfed,medium,2240.48
potato,peaty,medium,summer,sprinkler,medium,41257.68
rice,loamy,medium,winter,drip,small,6930.98
rice,peaty,high,summer,rainfed,medium,5901.82
potato,loamy,low,winter,sprinkler,medium,34302.77
wheat,clay,low,spring,sprinkler,small,3252.56
potato,loamy,medium,spring,sprinkler,large,50407.01
potato,loamy,medium,fall,rainfed,medium,34328.24
soybean,loamy,medium,winter,drip,large,3330.03
wheat,sandy,high,winter,flood,small,3838.97
potato,peaty,low,summer,sprinkler,small,33551.77
soybean,clay,low,spring,rainfed,small,1820.98
wheat,loamy,high,fall,flood,medium,5385.78
wheat,clay,high,winter,rainfed,medium,3956.68
potato,sandy,high,summer,flood,medium,42113.33
corn,loamy,medium,winter,drip,small,7800.78
wheat,clay,low,spring,rainfed,large,2995.0
corn,loamy,low,winter,flood,large,7909.64
soybean,loamy,low,fall,sprinkler,small,2304.8
wheat,loamy,medium,winter,drip,large,4699.81
wheat,peaty,low,fall,drip,large,3558.6
rice,loamy,medium,spring,drip,large,7471.47
potato,loamy,low,winter,drip,large,41045.15
rice,silty,high,summer,flood,medium,7171.15
wheat,loamy,low,summer,drip,large,3916.58
rice,loamy,high,spring,drip,small,7002.43
wheat,peaty,medium,fall,drip,small,4165.6
potato,silty,medium,summer,rainfed,small,34596.98
corn,sandy,high,summer,rainfed,medium,5987.8
wheat,silty,high,winter,drip,small,4544.96
soybean,silty,low,winter,flood,medium,2584.94
soybean,silty,high,winter,flood,small,3321.74
wheat,sandy,high,summer,sprinkler,medium,3365.3
soybean,silty,high,winter,drip,small,3245.8
wheat,sandy,high,fall,sprinkler,small,3422.12
wheat,silty,low,fall,drip,medium,3307.87
rice,silty,high,winter,rainfed,medium,5590.84
soybean,sandy,medium,summer,sprinkler,medium,2342.72
wheat,silty,medium,fall,flood,large,5022.65
rice,silty,low,summer,flood,medium,5406.42
soybean,peaty,medium,fall,rainfed,large,2443.8
potato,sandy,low,spring,rainfed,medium,23781.68
potato,peaty,medium,winter,rainfed,large,36891.96
potato,clay,medium,summer,flood,small,40956.72
soybean,silty,low,spring,flood,large,2743.73
corn,loamy,high,spring,flood,small,9186.83
corn,peaty,low,summer,rainfed,large,5479.05
potato,loamy,medium,fall,rainfed,large,38896.52
soybean,clay,medium,winter,drip,medium,3147.57
potato,sandy,medium,fall,sprinkler,medium,33980.5
potato,sandy,high,spring,flood,small,39764.84
wheat,clay,high,spring,drip,large,4891.93
rice,loamy,medium,winter,rainfed,medium,5919.61
wheat,clay,high,winter,rainfed,medium,4007.42
rice,peaty,medium,summer,rainfed,medium,5773.69
potato,clay,low,summer,drip,medium,35265.19
corn,peaty,medium,summer,flood,large,9313.83
potato,loamy,high,fall,flood,medium,54627.6
rice,peaty,medium,summer,drip,medium,6765.78
wheat,silty,high,fall,rainfed,medium,4266.46
corn,clay,medium,fall,sprinkler,large,7910.29
corn,peaty,medium,winter,drip,large,8905.69
rice,peaty,low,winter,drip,small,5357.94
rice,clay,medium,spring,rainfed,small,4816.55
rice,peaty,medium,fall,flood,large,7126.74
corn,silty,medium,spring,flood,medium,8778.98
wheat,loamy,high,spring,sprinkler,medium,5488.92
soybean,loamy,high,spring,drip,medium,3968.58
wheat,peaty,low,summer,flood,small,3538.53
wheat,peaty,high,summer,flood,large,5032.42
soybean,sandy,low,fall,rainfed,medium,1495.36
potato,clay,medium,summer,sprinkler,small,39724.79
corn,loamy,high,winter,drip,small,9469.34
wheat,peaty,high,winter,flood,medium,4953.36
rice,silty,medium,summer,rainfed,large,5754.37
potato,clay,low,spring,rainfed,medium,26923.09
corn,clay,low,summer,rainfed,medium,4843.68
rice,silty,medium,summer,flood,large,7209.75
potato,clay,medium,spring,flood,small,37946.72
corn,silty,high,fall,flood,small,9151.42
corn,loamy,high,winter,rainfed,medium,7425.05
potato,sandy,medium,fall,flood,medium,36608.15
soybean,peaty,medium,spring,rainfed,small,2305.1
rice,peaty,high,spring,sprinkler,large,7637.53
soybean,peaty,high,spring,flood,medium,4000.28
rice,peaty,high,spring,sprinkler,small,6681.25
wheat,loamy,high,spring,rainfed,small,3934.6
rice,loamy,high,fall,rainfed,medium,6013.1
wheat,peaty,low,winter,sprinkler,small,3418.06
corn,loamy,high,spring,flood,large,10314.13
potato,silty,medium,winter,rainfed,large,37874.19
rice,clay,low,summer,sprinkler,large,5064.16
potato,sandy,medium,fall,sprinkler,large,34808.3
rice,clay,low,spring,sprinkler,large,5126.46
soybean,peaty,medium,spring,drip,medium,2958.61
potato,peaty,low,spring,flood,small,37672.39
soybean,silty,medium,winter,flood,small,3265.1
wheat,loamy,medium,winter,rainfed,small,3743.38
wheat,silty,high,spring,drip,small,4419.06
rice,silty,low,fall,sprinkler,large,5563.4
wheat,silty,medium,spring,sprinkler,large,4471.59
soybean,silty,low,summer,flood,medium,3058.53
rice,loamy,low,summer,rainfed,large,4567.39
rice,peaty,medium,fall,drip,large,6545.8
rice,sandy,low,fall,drip,large,4283.32
rice,loamy,low,fall,rainfed,small,4076.91
potato,peaty,low,winter,flood,medium,39605.09
wheat,loamy,medium,fall,drip,medium,4586.8
potato,peaty,low,winter,flood,small,36718.75
corn,clay,medium,spring,flood,small,7623.64
soybean,silty,high,summer,drip,medium,3576.42
potato,loamy,low,summer,sprinkler,small,34455.82
soybean,loamy,low,winter,drip,medium,2531.89
rice,sandy,medium,fall,flood,medium,5099.42
soybean,loamy,high,fall,rainfed,large,3025.29
rice,peaty,high,fall,drip,medium,6870.61
potato,silty,high,winter,sprinkler,small,43033.77
potato,peaty,high,summer,drip,large,49884.86
rice,silty,low,fall,sprinkler,small,4488.0
corn,clay,low,spring,rainfed,small,4967.02
rice,silty,medium,summer,drip,medium,6540.16
corn,clay,low,fall,sprinkler,small,5299.45
potato,silty,medium,spring,rainfed,medium,34402.26
wheat,clay,low,summer,drip,small,3308.08
corn,sandy,low,summer,drip,large,5361.47
soybean,sandy,high,summer,rainfed,medium,2038.63
wheat,loamy,medium,winter,flood,large,5315.77
potato,silty,low,winter,rainfed,large,28898.92
soybean,sandy,medium,fall,flood,large,2656.59
corn,loamy,low,winter,flood,large,7469.35
wheat,clay,high,spring,rainfed,small,3502.59
potato,silty,medium,fall,sprinkler,small,43145.39
potato,sandy,low,fall,drip,large,27657.07
potato,loamy,medium,summer,drip,medium,48217.07
potato,clay,medium,spring,rainfed,medium,33929.78
wheat,sandy,low,spring,flood,large,2782.38
corn,peaty,low,fall,flood,small,6385.93
corn,loamy,high,fall,drip,medium,9269.87
soybean,clay,low,fall,rainfed,medium,2119.63
wheat,clay,high,summer,rainfed,medium,4220.06
corn,silty,high,fall,drip,medium,8881.81
potato,silty,medium,fall,rainfed,large,39369.46
potato,sandy,medium,summer,rainfed,large,30333.74
potato,peaty,medium,winter,rainfed,medium,36316.45
soybean,clay,medium,fall,flood,large,3385.21
wheat,peaty,low,winter,flood,large,4025.19
wheat,clay,medium,fall,rainfed,medium,3302.98
wheat,clay,high,spring,drip,medium,4623.55
corn,loamy,medium,summer,flood,medium,9293.76
corn,clay,low,fall,flood,large,7179.12
rice,loamy,medium,fall,sprinkler,medium,6659.64
rice,clay,high,summer,rainfed,large,6111.77
potato,clay,high,spring,sprinkler,large,51004.94
corn,loamy,high,spring,rainfed,small,7462.03
wheat,clay,high,spring,flood,small,4787.18
soybean,loamy,high,spring,sprinkler,small,3363.8
wheat,clay,high,summer,flood,small,4561.51
corn,clay,medium,spring,drip,small,7836.07
wheat,peaty,high,spring,rainfed,large,3900.38
potato,silty,medium,fall,sprinkler,medium,43993.92
corn,clay,medium,winter,sprinkler,medium,7543.73
corn,loamy,low,winter,drip,small,6986.25
soybean,peaty,high,spring,drip,large,3453.01
potato,sandy,high,fall,sprinkler,large,38737.67
rice,clay,medium,fall,rainfed,small,4876.01
potato,loamy,low,winter,flood,medium,39529.91
rice,loamy,medium,summer,rainfed,small,5075.19
potato,clay,medium,fall,rainfed,medium,33330.31
rice,peaty,medium,summer,sprinkler,medium,6399.1
soybean,silty,low,spring,rainfed,medium,2099.19
rice,peaty,low,fall,sprinkler,medium,5156.54
corn,loamy,medium,summer,drip,large,8863.35
soybean,silty,low,fall,rainfed,large,2287.89
rice,silty,medium,winter,rainfed,medium,5383.03
rice,sandy,low,fall,rainfed,medium,3994.1
potato,peaty,low,summer,sprinkler,small,33431.38
corn,clay,low,winter,drip,medium,6600.13
potato,loamy,low,summer,rainfed,medium,29833.56
potato,peaty,medium,summer,flood,medium,46402.81
rice,loamy,medium,fall,rainfed,medium,5575.81
potato,sandy,high,spring,drip,large,39820.41
potato,loamy,low,summer,rainfed,large,33658.38
rice,silty,low,spring,sprinkler,medium,4928.55
corn,silty,high,spring,sprinkler,small,8539.96
corn,clay,medium,fall,drip,large,8643.19
wheat,clay,medium,fall,drip,medium,4555.46
corn,clay,low,spring,sprinkler,small,5726.04
soybean,loamy,low,fall,sprinkler,small,2502.05
potato,sandy,medium,spring,sprinkler,medium,32863.28
corn,loamy,low,fall,sprinkler,large,7170.23
rice,clay,low,summer,drip,small,4579.14
corn,sandy,low,winter,sprinkler,large,5637.9
potato,silty,high,summer,sprinkler,small,45848.49
corn,clay,high,summer,drip,large,9295.48
corn,loamy,medium,fall,sprinkler,small,7980.52
corn,silty,low,summer,drip,large,6627.34
rice,clay,medium,fall,rainfed,large,5631.06
soybean,sandy,low,summer,sprinkler,medium,2090.4
potato,sandy,low,spring,sprinkler,small,25650.5
wheat,silty,low,spring,rainfed,small,2674.09
wheat,clay,low,spring,flood,medium,3859.35
potato,peaty,medium,spring,sprinkler,medium,43334.33
soybean,clay,low,winter,sprinkler,small,2343.0
corn,loamy,low,spring,rainfed,large,6119.58
potato,peaty,high,spring,flood,medium,53868.8
rice,peaty,low,summer,flood,medium,5250.46
potato,silty,low,fall,drip,large,37363.46
rice,sandy,low,fall,flood,large,4668.4
corn,loamy,high,spring,rainfed,small,7627.99
soybean,silty,medium,summer,rainfed,medium,2582.06
rice,silty,low,fall,sprinkler,medium,5188.54
rice,peaty,medium,winter,drip,large,6441.75
wheat,sandy,low,winter,sprinkler,small,2823.78
corn,peaty,low,fall,rainfed,medium,5013.99
rice,sandy,medium,spring,drip,large,5094.68
corn,peaty,low,spring,sprinkler,medium,6426.79
potato,loamy,high,fall,rainfed,large,45299.33
rice,loamy,low,summer,flood,large,6193.06
potato,sandy,high,spring,sprinkler,large,40797.35
corn,peaty,medium,winter,sprinkler,large,8574.66
corn,peaty,high,summer,rainfed,medium,7185.59
soybean,loamy,high,winter,sprinkler,medium,3441.86
corn,clay,low,fall,sprinkler,large,6488.32
potato,clay,high,winter,sprinkler,small,40910.03
potato,sandy,low,spring,rainfed,small,23506.06
potato,peaty,high,summer,flood,large,53844.22
corn,peaty,high,winter,flood,large,9956.12
soybean,silty,low,summer,rainfed,medium,2333.07
